trial_num,robot_k_level,num_hiding_spots,robot_hiding_spot,rat_first_search,was_found,time_to_find,belief_rat_is_k-1,belief_rat_is_k0,belief_rat_is_k1,pred_rat_searches_spot1,pred_rat_searches_spot2,pred_rat_searches_spot3,pred_rat_searches_spot4
1,2,4,3,1,False,120.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2500000022500001,0.2500000022500001,0.2500000022500001,0.2500000022500001
2,2,4,4,1,False,120.0,0.3333333326666666,0.3333333326666666,0.33333333466666676,0.2830562171749358,0.18305621680826908,0.35083135820852607,0.18305621680826908
3,2,4,2,1,False,120.0,0.4710489496777126,0.1956177144260946,0.33333333589619285,0.3597121656481547,0.14714029249510727,0.17337871586706055,0.31976883498967756
4,2,4,3,1,False,120.0,0.6547581602794019,0.0613255990845008,0.2839162406360973,0.4738154608807553,0.24323652544923705,0.13590947720099983,0.14703854517250528
5,2,4,4,1,False,120.0,0.7896481906486504,0.011810023880292037,0.1985417854710575,0.5647039478267981,0.1278896219606081,0.18537660492563263,0.12202983347821185
6,2,4,2,1,False,120.0,0.8739625824635222,0.0017188516809969532,0.12431856585548066,0.629310045616559,0.11017329616398869,0.11368656137370921,0.14683010459165438
7,2,4,3,1,False,120.0,0.9258420825177532,0.00022357527605784805,0.07393434220618882,0.6770078303360335,0.1212358776262695,0.09986574541519562,0.1018905540661074
